:START_ID,:END_ID,:TYPE
en889,en888,answer
en891,en890,answer
en894,en892,answer
en894,en893,answer
en897,en895,answer
en897,en896,answer
en899,en898,answer
en902,en900,answer
en902,en901,answer
en904,en903,answer
en905,en730,answer
en908,en906,answer
en908,en907,answer
en909,en45,answer
en910,en202,answer
en913,en911,answer
en913,en912,answer
en915,en914,answer
en916,en669,answer
en919,en917,answer
en919,en918,answer
en921,en55,answer
en921,en220,answer
en921,en920,answer
en921,en221,answer
en923,en922,answer
en925,en924,answer
en926,en787,answer
en928,en927,answer
en929,en221,answer
en931,en930,answer
en933,en932,answer
en935,en934,answer
en937,en936,answer
en939,en938,answer
en941,en940,answer
en946,en942,answer
en946,en943,answer
en946,en944,answer
en946,en945,answer
en947,en260,answer
en948,en345,answer
en948,en346,answer
en948,en347,answer
en950,en949,answer
en952,en951,answer
en953,en502,answer
en954,en783,answer
en957,en955,answer
en957,en956,answer
en959,en958,answer
en962,en960,answer
en962,en961,answer
en963,en526,answer
en967,en964,answer
en967,en965,answer
en967,en966,answer
en969,en968,answer
en971,en970,answer
en977,en972,answer
en977,en973,answer
en977,en974,answer
en977,en975,answer
en977,en976,answer
en978,en872,answer
en980,en979,answer
en982,en981,answer
en984,en983,answer
en986,en985,answer
en988,en987,answer
en989,en345,answer
en990,en922,answer
en992,en991,answer
en994,en993,answer
en995,en491,answer
en997,en996,answer
en999,en998,answer
en1001,en1000,answer
en1006,en1002,answer
en1006,en1003,answer
en1006,en922,answer
en1006,en1004,answer
en1006,en313,answer
en1006,en1005,answer
en1006,en782,answer
en1008,en1007,answer
en1014,en1009,answer
en1014,en1010,answer
en1014,en1011,answer
en1014,en1012,answer
en1014,en1013,answer
en1016,en1015,answer
en1018,en1017,answer
en1020,en1019,answer
en1023,en1021,answer
en1023,en1022,answer
en1025,en1024,answer
en1025,en418,answer
en1026,en934,answer
en1027,en281,answer
en1029,en1028,answer
en1031,en1030,answer
en1033,en1032,answer
en1035,en1034,answer
en1036,en421,answer
en1038,en1037,answer
en1039,en491,answer
en1039,en173,answer
en1041,en1040,answer
en1043,en1042,answer
en1044,en351,answer
en1046,en1045,answer
en1048,en1047,answer
en1050,en1049,answer
en1052,en1051,answer
en1055,en1053,answer
en1055,en1054,answer
en1057,en1056,answer
en1059,en1058,answer
en1060,en866,answer
en1060,en867,answer
en1061,en970,answer
en1062,en922,answer
en1065,en1063,answer
en1065,en1064,answer
en1103,en1066,answer
en1103,en1067,answer
en1103,en1068,answer
en1103,en1069,answer
en1103,en1070,answer
en1103,en1071,answer
en1103,en1072,answer
en1103,en1073,answer
en1103,en1074,answer
en1103,en1075,answer
en1103,en1076,answer
en1103,en1077,answer
en1103,en1078,answer
en1103,en1079,answer
en1103,en1080,answer
en1103,en1081,answer
en1103,en1082,answer
en1103,en1083,answer
en1103,en1084,answer
en1103,en1085,answer
en1103,en1086,answer
en1103,en1087,answer
en1103,en1088,answer
en1103,en1089,answer
en1103,en1090,answer
en1103,en1091,answer
en1103,en1092,answer
en1103,en1093,answer
en1103,en1094,answer
en1103,en1095,answer
en1103,en1096,answer
en1103,en1097,answer
en1103,en1098,answer
en1103,en1099,answer
en1103,en1100,answer
en1103,en1101,answer
en1103,en1102,answer
en1112,en1104,answer
en1112,en1105,answer
en1112,en1106,answer
en1112,en1107,answer
en1112,en1108,answer
en1112,en1109,answer
en1112,en1110,answer
en1112,en1111,answer
en1113,en693,answer
en1114,en291,answer
en1114,en292,answer
en1116,en1115,answer
en1118,en1117,answer
en1121,en1119,answer
en1121,en1120,answer
en1123,en1122,answer
en1125,en1124,answer
en1127,en1126,answer
en1128,en55,answer
en1128,en220,answer
en1128,en221,answer
en1128,en222,answer
en1128,en223,answer
en1128,en224,answer
en1128,en225,answer
en1132,en1129,answer
en1132,en1130,answer
en1132,en1131,answer
en1133,en522,answer
en1133,en523,answer
en1133,en524,answer
en1135,en1134,answer
en1136,en18,answer
en1138,en1137,answer
en1140,en1139,answer
en1142,en1141,answer
en1144,en1143,answer
en1146,en1145,answer
en1148,en1147,answer
en1151,en1149,answer
en1151,en1150,answer
en1153,en1152,answer
en1154,en1049,answer
en1156,en1155,answer
en1158,en1157,answer
en1158,en732,answer
en1161,en1159,answer
en1161,en1160,answer
en1163,en1162,answer
en1166,en1164,answer
en1166,en1165,answer
en1169,en1167,answer
en1169,en1168,answer
en1171,en1170,answer
en1215,en1172,answer
en1215,en1173,answer
en1215,en1174,answer
en1215,en1175,answer
en1215,en1176,answer
en1215,en1177,answer
en1215,en1178,answer
en1215,en1179,answer
en1215,en1180,answer
en1215,en1181,answer
en1215,en1182,answer
en1215,en1183,answer
en1215,en1184,answer
en1215,en1185,answer
en1215,en1186,answer
en1215,en1187,answer
en1215,en1188,answer
en1215,en1189,answer
en1215,en1190,answer
en1215,en1191,answer
en1215,en1192,answer
en1215,en1193,answer
en1215,en1194,answer
en1215,en1195,answer
en1215,en57,answer
en1215,en1196,answer
en1215,en1197,answer
en1215,en1198,answer
en1215,en1199,answer
en1215,en1200,answer
en1215,en1201,answer
en1215,en1202,answer
en1215,en1203,answer
en1215,en1204,answer
en1215,en1205,answer
en1215,en1206,answer
en1215,en1207,answer
en1215,en1208,answer
en1215,en1209,answer
en1215,en1210,answer
en1215,en1211,answer
en1215,en1212,answer
en1215,en1213,answer
en1215,en1214,answer
en1216,en960,answer
en1216,en961,answer
en1217,en449,answer
en1221,en1218,answer
en1221,en1219,answer
en1221,en1220,answer
en1223,en1222,answer
en1224,en35,answer
en1224,en36,answer
en1226,en1225,answer
en1228,en1227,answer
en1230,en1229,answer
en1232,en1231,answer
en1233,en1002,answer
en1234,en730,answer
en1236,en1235,answer
en1238,en1237,answer
en1240,en1239,answer
en1242,en1241,answer
en1244,en1243,answer
en1248,en55,answer
en1248,en1245,answer
en1248,en1246,answer
en1248,en59,answer
en1248,en1247,answer
en1248,en60,answer
en1250,en1249,answer
en1251,en281,answer
en1253,en1252,answer
en1254,en582,answer
en1254,en769,answer
en1254,en534,answer
en1256,en1255,answer
en1257,en783,answer
en1258,en49,answer
en1258,en50,answer
en1258,en51,answer
en1262,en1259,answer
en1262,en1260,answer
en1262,en1261,answer
en1264,en1263,answer
en1266,en1265,answer
en1269,en1267,answer
en1269,en1268,answer
en1270,en644,answer
en1272,en1271,answer
en1272,en996,answer
en1274,en1273,answer
en1276,en1275,answer
en1278,en1277,answer
en1280,en1279,answer
en1282,en1281,answer
en1284,en1283,answer
en1286,en1285,answer
en1287,en447,answer
en1289,en1288,answer
en1292,en1290,answer
en1292,en1291,answer
en1295,en1293,answer
en1295,en1294,answer
en1296,en1021,answer
en1296,en1022,answer
en1298,en1297,answer
en1301,en1299,answer
en1301,en1300,answer
en1303,en1302,answer
en1306,en1304,answer
en1306,en1305,answer
en1308,en1307,answer
en1310,en1309,answer
en1312,en1311,answer
en1314,en1313,answer
en1316,en1315,answer
en1334,en1317,answer
en1334,en1318,answer
en1334,en1319,answer
en1334,en1320,answer
en1334,en1321,answer
en1334,en1322,answer
en1334,en1323,answer
en1334,en1324,answer
en1334,en1325,answer
en1334,en1326,answer
en1334,en1327,answer
en1334,en1328,answer
en1334,en1329,answer
en1334,en1330,answer
en1334,en1331,answer
en1334,en1332,answer
en1334,en1333,answer
en1336,en1335,answer
en1337,en755,answer
en1338,en304,answer
en1340,en1339,answer
en1342,en1341,answer
en1344,en1343,answer
en1346,en1345,answer
en1348,en1347,answer
en1350,en1349,answer
en1352,en1351,answer
en1354,en1353,answer
en1354,en449,answer
en1356,en1355,answer
en1358,en1357,answer
en1361,en1359,answer
en1361,en1360,answer
en1362,en139,answer
en1364,en1363,answer
en1365,en111,answer
en1368,en1366,answer
en1368,en1367,answer
en1370,en1369,answer
en1371,en920,answer
en1373,en1372,answer
en1375,en1374,answer
en1375,en289,answer
en1377,en1376,answer
en1379,en1378,answer
en1381,en1380,answer
en1383,en1382,answer
en1385,en1384,answer
en1385,en860,answer
en1386,en351,answer
en1387,en958,answer
en1390,en1388,answer
en1390,en1389,answer
en1392,en1391,answer
en1392,en526,answer
en1392,en1273,answer
en1393,en860,answer
en1395,en1394,answer
en1397,en1396,answer
en1399,en1398,answer
en1400,en394,answer
en1401,en596,answer
en1401,en597,answer
en1403,en1402,answer
en1405,en1404,answer
en1407,en1406,answer
en1409,en1408,answer
en1411,en1410,answer
en1413,en1412,answer
en1422,en1414,answer
en1422,en1415,answer
en1422,en1416,answer
en1422,en1417,answer
en1422,en1418,answer
en1422,en1419,answer
en1422,en1420,answer
en1422,en1421,answer
en1423,en541,answer
en1425,en1424,answer
en1427,en1426,answer
en1429,en1428,answer
en1432,en1430,answer
en1432,en1431,answer
en1434,en1433,answer
en1436,en1435,answer
en1438,en1437,answer
en1440,en1439,answer
en1442,en1441,answer
en1444,en1443,answer
en1445,en922,answer
en1446,en1391,answer
en1448,en1447,answer
en1450,en1449,answer
en1450,en1391,answer
en1452,en1451,answer
en1453,en686,answer
en1455,en1454,answer
en1457,en1456,answer
en1460,en1458,answer
en1460,en1459,answer
en1461,en445,answer
en1463,en1462,answer
en1475,en1464,answer
en1475,en1465,answer
en1475,en1466,answer
en1475,en1467,answer
en1475,en1468,answer
en1475,en1469,answer
en1475,en1470,answer
en1475,en1471,answer
en1475,en1472,answer
en1475,en1473,answer
en1475,en12,answer
en1475,en1474,answer
en1477,en1476,answer
en1482,en1478,answer
en1482,en1479,answer
en1482,en1480,answer
en1482,en1481,answer
en1484,en1483,answer
en1484,en133,answer
en1486,en1485,answer
en1487,en291,answer
en1487,en292,answer
en1489,en1488,answer
en1491,en1490,answer
en1493,en1492,answer
en1495,en1494,answer
en1496,en1167,answer
en1496,en1168,answer
en1497,en43,answer
en1498,en1345,answer
en1499,en586,answer
en1501,en1500,answer
en1503,en1502,answer
en1505,en1504,answer
en1507,en1506,answer
en1508,en173,answer
en1510,en1509,answer
en1512,en1511,answer
en1514,en1513,answer
en1516,en495,answer
en1516,en1515,answer
en1517,en1309,answer
en1519,en1518,answer
en1521,en1520,answer
en1522,en1004,answer
en1522,en703,answer
en1523,en258,answer
en1525,en1524,answer
en1528,en1526,answer
en1528,en1527,answer
en1531,en1529,answer
en1531,en1530,answer
en1532,en147,answer
en1532,en148,answer
en1533,en581,answer
en1533,en582,answer
en1533,en583,answer
en1533,en769,answer
en1533,en532,answer
en1533,en534,answer
en1535,en1534,answer
en1539,en1536,answer
en1539,en1537,answer
en1539,en1538,answer
en1541,en1540,answer
en1541,en139,answer
en1543,en1542,answer
en1545,en1544,answer
en1547,en1546,answer
en1549,en1548,answer
en1551,en1550,answer
en1553,en1552,answer
en1555,en1554,answer
en1557,en1556,answer
en1560,en1558,answer
en1560,en1559,answer
en1563,en1561,answer
en1563,en1562,answer
en1565,en1564,answer
en1566,en227,answer
en1568,en1567,answer
en1570,en1569,answer
en1572,en1571,answer
en1574,en1573,answer
en1576,en1575,answer
en1578,en1577,answer
en1580,en1579,answer
en1583,en1581,answer
en1583,en1582,answer
en1585,en1584,answer
en1586,en860,answer
en1587,en839,answer
en1589,en1588,answer
en1591,en1590,answer
en1592,en782,answer
en1594,en1593,answer
en1596,en1595,answer
en1598,en1597,answer
en1599,en291,answer
en1599,en292,answer
en1600,en1032,answer
en1602,en1601,answer
en1613,en1603,answer
en1613,en1604,answer
en1613,en1605,answer
en1613,en1606,answer
en1613,en1607,answer
en1613,en1608,answer
en1613,en1305,answer
en1613,en1609,answer
en1613,en1610,answer
en1613,en1611,answer
en1613,en1612,answer
en1615,en1614,answer
en1617,en1616,answer
en1618,en1485,answer
en1619,en964,answer
en1619,en965,answer
en1619,en966,answer
en1621,en1620,answer
en1623,en1622,answer
en1624,en18,answer
en1634,en1625,answer
en1634,en1626,answer
en1634,en1627,answer
en1634,en1628,answer
en1634,en1629,answer
en1634,en1630,answer
en1634,en1631,answer
en1634,en1632,answer
en1634,en1633,answer
en1635,en730,answer
en1637,en1636,answer
en1640,en1638,answer
en1640,en1639,answer
en1642,en1641,answer
en1644,en1643,answer
en1646,en1645,answer
en1647,en1285,answer
en1650,en1648,answer
en1650,en1649,answer
en1651,en1288,answer
en1653,en1652,answer
en1655,en1654,answer
en1657,en1656,answer
en1658,en139,answer
en1659,en724,answer
en1660,en447,answer
en1665,en1661,answer
en1665,en1662,answer
en1665,en1663,answer
en1665,en1664,answer
en1666,en1414,answer
en1666,en1415,answer
en1666,en1416,answer
en1666,en1417,answer
en1666,en1418,answer
en1666,en1419,answer
en1666,en1420,answer
en1666,en1421,answer
en1668,en1667,answer
en1671,en1669,answer
en1671,en1670,answer
en1673,en1672,answer
en1675,en1674,answer
en1678,en1676,answer
en1678,en1677,answer
en1679,en1345,answer
en1681,en1680,answer
en1682,en449,answer
en1682,en1391,answer
en1684,en1683,answer
en1685,en220,answer
en1687,en1686,answer
en1689,en1688,answer
en1689,en732,answer
en1691,en1690,answer
en1693,en1692,answer
en1695,en1694,answer
en1697,en1696,answer
en1699,en1698,answer
en1701,en1700,answer
en1703,en1702,answer
en1705,en1704,answer
en1707,en1706,answer
en1709,en1708,answer
en1711,en1710,answer
en1712,en1704,answer
en1713,en562,answer
en1715,en1714,answer
en1717,en1716,answer
en1718,en435,answer
en1720,en581,answer
en1720,en582,answer
en1720,en583,answer
en1720,en351,answer
en1720,en769,answer
en1720,en790,answer
en1720,en532,answer
en1720,en1719,answer
en1720,en534,answer
en1722,en1721,answer
en1724,en1723,answer
en1727,en1725,answer
en1727,en1726,answer
en1729,en1728,answer
en1731,en1730,answer
en1732,en526,answer
en1734,en1733,answer
en1736,en1735,answer
en1739,en1737,answer
en1739,en1738,answer
en1741,en1740,answer
en1743,en1742,answer
en1745,en1744,answer
en1747,en1746,answer
en1749,en1748,answer
en1751,en1750,answer
en1752,en1162,answer
en1753,en469,answer
en1753,en470,answer
en1753,en471,answer
en1753,en472,answer
en1753,en473,answer
en1753,en474,answer
en1753,en475,answer
en1753,en476,answer
en1753,en477,answer
en1753,en478,answer
en1753,en479,answer
en1753,en480,answer
en1753,en481,answer
en1753,en482,answer
en1753,en483,answer
en1754,en1003,answer
en1755,en1564,answer
en1757,en1756,answer
en1759,en1758,answer
en1760,en318,answer
en1763,en1761,answer
en1763,en1762,answer
en1765,en1764,answer
en1767,en1766,answer
en1769,en1768,answer
en1770,en1271,answer
en1770,en996,answer
en1781,en1771,answer
en1781,en1772,answer
en1781,en1773,answer
en1781,en1774,answer
en1781,en1775,answer
en1781,en1776,answer
en1781,en1777,answer
en1781,en1778,answer
en1781,en1779,answer
en1781,en1780,answer
en1787,en1782,answer
en1787,en1783,answer
en1787,en1784,answer
en1787,en1785,answer
en1787,en1786,answer
en1792,en1788,answer
en1792,en1789,answer
en1792,en1790,answer
en1792,en1791,answer
en1793,en753,answer
en1794,en765,answer
en1796,en1795,answer
en1798,en1797,answer
en1800,en1799,answer
en1802,en1801,answer
en1803,en433,answer
en1805,en1804,answer
en1807,en1806,answer
en1808,en133,answer
en1811,en1809,answer
en1811,en1810,answer
en1813,en66,answer
en1813,en1812,answer
en1815,en1814,answer
en1819,en1816,answer
en1819,en1817,answer
en1819,en1818,answer
en1820,en1746,answer
en1823,en1821,answer
en1823,en1822,answer
en1826,en1824,answer
en1826,en1825,answer
en1828,en1827,answer
en1831,en1829,answer
en1831,en1830,answer
en1832,en301,answer
en1832,en562,answer
en1832,en292,answer
en1834,en1833,answer
en1835,en843,answer
en1837,en1836,answer
en1839,en431,answer
en1839,en1838,answer
en1840,en960,answer
en1840,en961,answer
en1842,en1841,answer
en1843,en411,answer
en1844,en45,answer
en1846,en1845,answer
en1848,en1847,answer
en1849,en755,answer
en1850,en1317,answer
en1850,en1318,answer
en1850,en1319,answer
en1850,en1320,answer
en1850,en1321,answer
en1850,en1322,answer
en1850,en1323,answer
en1850,en1324,answer
en1850,en1325,answer
en1850,en1326,answer
en1850,en1327,answer
en1850,en1328,answer
en1850,en1329,answer
en1850,en1330,answer
en1850,en1331,answer
en1850,en1332,answer
en1850,en1333,answer
en1852,en1851,answer
en1854,en1853,answer
en1856,en1855,answer
en1857,en996,answer
en1859,en1858,answer
en1861,en1860,answer
en1862,en313,answer
en1863,en1544,answer
en1865,en1864,answer
en1867,en1866,answer
en1868,en958,answer
en1870,en1869,answer
en1871,en958,answer
en1873,en1872,answer
en1875,en1874,answer
en1877,en1876,answer
en1878,en41,answer
en1879,en1247,answer
en1881,en1880,answer
en1882,en1172,answer
en1882,en1173,answer
en1882,en1174,answer
en1882,en1175,answer
en1882,en1176,answer
en1882,en1177,answer
en1882,en1178,answer
en1882,en1179,answer
en1882,en1180,answer
en1882,en1181,answer
en1882,en1182,answer
en1882,en1183,answer
en1882,en1184,answer
en1882,en1185,answer
en1882,en1186,answer
en1882,en1187,answer
en1882,en1188,answer
en1882,en1189,answer
en1882,en1190,answer
en1882,en1191,answer
en1882,en1192,answer
en1882,en1193,answer
en1882,en1194,answer
en1882,en1195,answer
en1882,en57,answer
en1882,en1196,answer
en1882,en1197,answer
en1882,en1198,answer
en1882,en1199,answer
en1882,en1200,answer
en1882,en1201,answer
en1882,en1202,answer
