entity:ID,name,:LABEL
en208,what territories did israel gain control of in the 6 day war of 1967,q
en209,Q162819,s
en210,who did henry viii divorce first,q
en211,Q306,s
en212,which person holds the presidency of the nation where magallanes y la antartica chilena region 2011 were located,q
en213,Q7278646,s
en214,which album did eddie rabbitt release in march 1986,q
en215,Q833645,s
en216,what was the first book of shakespeare,q
en217,Q128849,s
en218,what city hosted the 1998 winter olympics,q
en219,Q34404,s
en220,where is the 2012 ncaa basketball tournament played at that is located at 1001 fifth avenue,q
en221,Q1581759,s
en222,Q4295890,s
en223,Q4295895,s
en224,which years did the 1983 champions go to the world series,q
en225,Q335027,s
en226,what did logo invent while living in the united states,q
en227,Q106291,s
en228,what is nominated for of burt reynolds that is point in time is 1997-1-1,q
en229,Q604,s
en230,what are the dwarf planet discoveries made on 3/31/2005,q
en231,Q79580,s
en232,what was the capital of alabama through 1846,q
en233,Q5126026,s
en234,what is spouse of alfred kinsey that is end time is 1956-0-0,q
en235,Q3595282,s
en236,Q3647356,s
en237,who is the present chief justice of supreme court of india for 2010,q
en238,Q1465181,s
en239,Q222047,s
en240,Q674359,s
en241,what was the award presented to kareem abdul-jabbar in 1980,q
en242,Q2518,s
en243,who became federal chancellor of germany after gerhard schroder,q
en244,Q4416090,s
en245,what is position held of harry s. truman that is start time is 1935-1-3,q
en246,Q161549,s
en247,Q189946,s
en248,Q52847,s
en249,Q845737,s
en250,"what follows the european union after it is dissolved, abolished or what follows the european union after it is dissolved, abolished or demolished",q
en251,Q160082,s
en252,what award did hilary mantel receive on 1-1-2009,q
en253,Q129795,s
en254,"where is the ""on the last frontier"" lyrics' author buried",q
en255,Q157,s
en256,Q329,s
en257,which politician was leading france as of 2012 and ended their last government psoition until 2007-03-26,q
en258,Q8567,s
en259,when was the gold metal won by the sponsee of covergirl,q
en260,Q3771430,s
en261,what is head of government of calabria that is end time is 2014-4-29,q
en262,Q54389,s
en263,which comes before the anti-particle of antideuterium,q
en264,Q1188005,s
en265,Q585801,s
en266,Q620277,s
en267,Q632786,s
en268,Q853768,s
en269,Q904928,s
en270,what other years did the champion of the 2011 afc championship game win the superbowl,q
en271,Q4542504,s
en272,what is nominated for of luis miguel that is point in time is 1997-0-0,q
en273,what is nominated for of philip seymour hoffman that is statement is subject of is 80th academy awards,q
en274,Q1374361,s
en275,who are the first dallas cowboys coaches,q
en276,Q213500,s
en277,who is the first african american to win nobel prize,q
en278,Q433180,s
en279,"when the political appointer held the title of white house staff assistant was president, who was then the secretary of state",q
en280,Q438848,s
en281,what is chairperson of mossad that is start time is 2002-0-0,q
en282,Q47170,s
en283,tell me the award milton friedman received in 1976,q
en284,Q6008386,s
en285,which award did corin tellado receive in the year 1998,q
en286,Q42034,s
en287,what was the name of the first wife of the holy prophet mohammad,q
en288,Q221048,s
en289,what was first black player in mlb,q
en290,who was the first african american mlb player in the world,q
en291,Q1385992,s
en292,who was elizabeth taylor 2nd husband,q
en293,Q1268927,s
en294,Q1419495,s
en295,Q1790273,s
en296,Q1868921,s
en297,Q463085,s
en298,Q4649800,s
en299,Q501273,s
en300,Q840286,s
en301,Q989447,s
en302,"in 1993, which award was granted to holly hunter",q
en303,Q16822913,s
en304,Q18995,s
en305,Q2039308,s
en306,Q338385,s
en307,Q4583688,s
en308,Q4588534,s
en309,Q47510245,s
en310,Q47510338,s
en311,Q47510356,s
en312,Q47510372,s
en313,Q47510566,s
en314,Q47510570,s
en315,Q47510573,s
en316,Q47510582,s
en317,Q817262,s
en318,what year prior to the 1993-94 fa cup did arsenal win the league,q
en319,Q2517513,s
en320,what plays were first performed with copyright in 1967,q
en321,Q776662,s
en322,what was the residence of oliver heaviside born at 1889-0-0,q
en323,Q101797,s
en324,who was johnny depp's partner until 1993,q
en325,Q361523,s
en326,what is spouse of greer garson that is start time is 1943-1-1,q
en327,Q276539,s
en328,which university of mississippi sports team did michael oher play for in 2009,q
en329,Q672635,s
en330,what position did djuanda kartawidjaja take after he was replaced by sukarano,q
en331,Q166646,s
en332,who was prime minister of great britain during the defense of the great wall,q
en333,Q30192,s
en334,Q6574,s
en335,what is the time zone in uk now,q
en336,Q349,s
en337,who got first padma bhushan award,q
en338,what award did bob cousy receive in 1961,q
en339,Q273228,s
en340,who replaced aldo moro as the minister of foreign affairs,q
en341,"who currently operates the railway lines one of whose stockholder is chicago,st paul,minneapolis and omaha railway",q
en342,Q121783,s
en343,Q132893,s
en344,Q180950,s
en345,what team that uses the american airlines center did derek fisher play for in 2012,q
en346,Q282,s
en347,Q41354,s
en348,Q7802,s
en349,what was the last meal of jesus christ,q
en350,Q281939,s
en351,Q488645,s
en352,Q830079,s
en353,what award was top gun nominated for in the 59th academy awards,q
en354,Q311719,s
en355,what democratic was a presidential candidate in 1952,q
en356,Q38104,s
en357,"what is nominated for of john william strutt, 3rd baron rayleigh that is point in time is 1903-1-1",q
en358,Q3773669,s
en359,what is trey songz first top songs,q
en360,Q161806,s
en361,what did jean racine become a member of on 1672-12-5,q
en362,Q516479,s
en363,Q521644,s
en364,Q917071,s
en365,Q917076,s
en366,"what was edith head statement received as academy award for best costume design, black-and-white",q
en367,Q482941,s
en368,what is residence of don bluth that has start time of 1940-0-0,q
en369,Q215616,s
en370,what is first air channel of part of series of an adventure in make believe,q
en371,Q93190,s
en372,what happened to albert einstrins first wife,q
en373,Q49128,s
en374,who was the chairperson of harvard university in 2007,q
en375,Q83459,s
en376,for what sports team that was founded on 16 december 1899 did kaka play in 2009,q
en377,Q167733,s
en378,what is educated at of elsie clews parsons that is end time is 1899,q
en379,Q5704055,s
en380,what is electoral district and represents of john key has member of as 51st new zealand parliament,q
en381,Q2069819,s
en382,what year did spudd webb won the dunk contest,q
en383,who was the president of the government of costa rica in 2012,q
en384,Q6508547,s
en385,what is position held of peter fraser that is replaced by is walter nash,q
en386,Q6267603,s
en387,who was nebraska's first heisman trophy winner,q
en388,Q102427,s
en389,Q103360,s
en390,Q103916,s
en391,Q1315008,s
en392,Q165313,s
en393,Q41417,s
en394,Q5280675,s
en395,Q593098,s
en396,Q6978541,s
en397,Q849124,s
en398,what is nominated for of pulp fiction that is point in time is 1994-0-0,q
en399,Q529446,s
en400,what person was the mayor of atlanta starting in 2002,q
en401,Q719200,s
en402,who is the first african american senator,q
en403,Q13217683,s
en404,Q17305512,s
en405,what did harry s truman work before he was president,q
en406,Q4942343,s
en407,who became the editor of glamour in 1998,q
en408,Q125076,s
en409,Q159063,s
en410,Q183239,s
en411,Q201687,s
en412,Q691672,s
en413,what films were nominated for best picture of 2009,q
en414,what was burt lancaster nominated for in 1953,q
en415,Q3019369,s
en416,what award did david geffen receive in the year 1990,q
en417,Q88485687,s
en418,which person is the current leader of the nation where kef governorate is located,q
en419,Q116854,s
en420,Q116861,s
en421,Q4465,s
en422,Q531599,s
en423,Q808917,s
en424,Q888311,s
en425,when did j.r.r. tolkien acquire the hugo award for best dramatic presentation,q
en426,Q1738793,s
en427,what awards did jerry herman receive while playing the lead in lillian gish,q
en428,Q150712,s
en429,Q154936,s
en430,Q309930,s
en431,Q310435,s
en432,Q442257,s
en433,what is follows and followed by of berengar i of italy has noble title as monarch of italy,q
en434,Q5305705,s
en435,Q5305716,s
en436,what is nominated for of jonathan larson that is point in time is 2002-0-0,q
en437,Q958369,s
en438,who won the 2009 afl premiership,q
en439,Q200499,s
en440,name the president of the country whose main spoken language was brahui in 1980,q
en441,Q6283268,s
en442,who discovered the first chocolate bars,q
en443,Q939,s
en444,who declared brazil's independence in 1822,q
en445,what is the name of muhammad the prophet's first wife,q
en446,Q9184,s
en447,which is the religious text that follows the exodus,q
en448,Q173196,s
en449,who gave the mayor of mediatised to of government of the 1st dáil,q
en450,Q131371,s
en451,who played nba finals 2010,q
en452,Q1630979,s
en453,in 2005 which award ilya mechnikov received,q
en454,what was the first independent state in latin america,q
en455,Q41187,s
en456,what is the record label of the next thing and also the label of the the producers (2005 film),q
en457,Q50641,s
en458,linda nochlin majored in what subject at new york university institute of fine arts,q
en459,Q664,s
en460,which country gave women the right to vote in elections first,q
en461,Q24241,s
en462,what is nominated for of dominique blanc that is statement is subject of is 26th césar awards,q
en463,Q6132456,s
en464,who is janet jacksons first husband,q
en465,what was richard feynman nominated for in 1960,q
en466,Q4575625,s
en467,derek fisher is the head coach of a basketball team that won their last championship when,q
en468,Q15029,s
en469,who governmental head of the area that has the state council of the people's republic of china in 2011,q
en470,Q3764667,s
en471,who is the vice president in india now,q
en472,Q10737,s
en473,what happened to adolf hitler at the end of the war,q
en474,what city did roald dahl marry his first wife in,q
en475,what was isabelle huppert nominated for in 2003,q
en476,Q83229,s
en477,who was the last tudor to govern england,q
en478,Q1064741,s
en479,Q1065229,s
en480,Q1463422,s
en481,Q621500,s
en482,Q632774,s
en483,which super bowls occured after 1978-01-15 and were won by the dallas cowboys,q
en484,Q6279,s
en485,what politician ran as a us vice presidential candidate along with the speaker at the 2012 state of the union address,q
en486,Q1371091,s
en487,Q2484309,s
en488,"what is the public workplace held by means of john russell, 1st earl russell, that was appointed via elizabeth ii",q
en489,Q360028,s
en490,who is manager/director of european southern observatory where end time is 1974-1-1,q
en491,Q11702,s
en492,"who held their governmental position from before january 3, 2011 and were speakers of the house of representatives in 2011",q
en493,Q333994,s
en494,who is the first governor of india,q
en495,what award nominee in the 1980 national book awards ceremony served as secretary of state under president richard nixon,q
en496,Q9640,s
en497,who was sworn into office after the public speaker who spoke about anti-apartheid was assassinated,q
en498,Q241788,s
en499,which governor with the symbol of qui transtulit sustinet  won the election in 2010,q
en500,Q518675,s
en501,what was natalie portman short-listed for in 2011,q
en502,Q40213,s
en503,"who are the writers of the second coming, whose deathplace is menton",q
en504,Q11812,s
en505,who was the president when the lousiana territory was purchased,q
en506,Q462,s
en507,what original star wars movie was first screened,q
en508,what is nominated for of paul muni that is point in time is 1935-1-1,q
en509,Q17112655,s
en510,"in 1959, what award did leon festinger receive",q
en511,Q181962,s
en512,where is augusta masters 2012,q
en513,who was the president in 2010 of the governmental jurisdiction in which zeng peiyan was a governmental office holder,q
en514,Q35637,s
en515,what is nominated for of könig von belgien albert that is point in time is 1922-1-1,q
en516,Q1134635,s
en517,who was the winner of the world series in 1994,q
en518,Q107258,s
en519,Q139184,s
en520,Q3703463,s
en521,Q586356,s
en522,Q768476,s
en523,Q787131,s
en524,Q8038461,s
en525,Q900414,s
en526,what is nominated for of bernardo bertolucci that is for work is the last emperor,q
en527,Q433174,s
en528,who was the opponent of lincoln in the election of 1860,q
en529,Q184650,s
en530,who was george w bush's first secretary of defense,q
en531,Q127318,s
en532,who was the king of england in 1776,q
en533,Q15031,s
en534,who is the current president of the nation where guangzhou zhu jiang brewery co. ltd. zhu jiang beer is made,q
en535,Q131520,s
en536,Q277751,s
en537,Q487136,s
en538,what is award received of pan's labyrinth that is statement is subject of is 79th academy awards,q
en539,Q483020,s
en540,who does david beckham play for in 2013,q
en541,Q94,s
en542,on 2008-09-20 which computer operating system was released,q
en543,Q17008313,s
en544,what award did mel brooks receive in 2003,q
en545,Q132050,s
en546,what was president george w bush before he was president,q
en547,Q1042001,s
en548,what is the name of new zealand's first settlers,q
en549,Q304509,s
en550,what is the entertainment company for follows of comcast,q
en551,Q191384,s
en552,Q656801,s
en553,what member of marshall islands started on 1992-9-23,q
en554,Q255620,s
en555,what is spouse of cary grant that is end time is 1945-1-1,q
en556,Q13655513,s
en557,Q19730927,s
en558,Q21467394,s
en559,Q21500792,s
en560,Q23541058,s
en561,Q23714146,s
en562,Q27967823,s
en563,Q3510794,s
en564,Q361567,s
en565,Q62356,s
en566,Q6380660,s
en567,Q7877282,s
en568,current nigeria ministers and their portfolios,q
en569,"what team with team mascot named champ, did derek fisher play for in 2012",q
en570,Q310192,s
en571,who was lincons opponent in the 1864 elections,q
en572,"why did david cameron, who held the role of member of the 54th parliament of the uk, depart office",q
en573,Q212852,s
en574,Q233461,s
en575,who takes after and taken after by clovisas respectable title as lord of franks,q
en576,Q28729082,s
en577,where did mikhail skobelev receive his education in 1861,q
en578,Q931348,s
en579,"in 1978, who was the chairperson of the international mathematical union",q
en580,Q134430,s
en581,what was the first disney color cartoon movie,q
en582,Q3054376,s
en583,first female federal minister in australia,q
en584,Q538609,s
en585,"in 1996, who was the governor of the governmenatl jurisdiction in which matt blunt holds a governmental office",q
en586,Q659224,s
en587,what company did the actor who played micheal schumacher ferrari drive for in 2013,q
en588,Q313776,s
en589,who was the governor who banned the protest march from selma mongomery in 1965,q
en590,Q1700405,s
en591,who was the first governor of connecticut,q
en592,Q18656,s
en593,Q75729,s
en594,what football team does nani play for in 2007,q
en595,Q9188,s
en596,name a building located on 34th street that contains the word building in its name,q
en597,Q486860,s
en598,Q74195,s
en599,what is the headquarters location and the location of formation of google,q
en600,Q12439,s
en601,in what year did detroit become a city,q
en602,Q168,s
en603,"what is often confused with of pi , that has comes before is ρ",q
en604,Q1675683,s
en605,who was the chairperson of the international ski federation in the year 1924,q
en606,Q791135,s
en607,which honor was received on 01/01/2006 by mikhail prokhorov,q
en608,Q1140155,s
en609,when was the first action film made,q
en610,Q295844,s
en611,what is start time and place of marriage of victor hugo has spouse as adèle foucher,q
en612,Q239502,s
en613,"in 1348, where did lviv live",q
en614,Q193592,s
en615,Q280658,s
en616,what is diego maradona's moment spanish family title and what position does he play,q
en617,Q41419,s
en618,oldest sister of zeus,q
en619,Q131581,s
en620,Q160341,s
en621,what is the replaces for henry vi of england has position held as monarch of england,q
en622,what award did laurence fishburne receive at the 46th tony awards,q
en623,who was the last great absolute european monarch,q
en624,Q346,s
en625,what is child of louis viii of france and date of birth,q
en626,Q654291,s
en627,what position did eamon de valera in parliament,q
en628,Q15180,s
en629,what countries occupied west germany after world war 2,q
en630,what is the name of the current political leader of china,q
en631,what country sent the first monkey into space,q
en632,Q43287,s
en633,what is country of wiesbaden that is start time is 1871-1-18,q
en634,Q28003,s
en635,what is award received of friedrich wöhler that is point in time is 1872-1-1,q
en636,Q1929603,s
en637,what was the beatles first album called,q
en638,Q16987659,s
en639,for what did adventure time earn a 2010 nomination,q
en640,Q159354,s
en641,Q206989,s
en642,Q326827,s
en643,Q3312129,s
en644,what kind of disciplines do the 1912 summer olympics and the 2008 summer olympics have in common,q
en645,who was the first woman mayor,q
en646,during which baseball seasons have the 1983 world series champions participated in the world series,q
en647,what team owned by steve bisciotti did michael oher play for in 2009,q
en648,Q91,s
en649,who was elected the us president in 1860,q
en650,Q465295,s
en651,Q69319,s
en652,who held a position in the 11th united states congress and was governor of ohio in 2011,q
en653,Q11820,s
en654,Q544396,s
en655,Q551362,s
en656,which man was in his governmental post since 1795-03-04 and was president andrew jackson's secretary of state,q
en657,Q9960,s
en658,who was us president when billy kelleher was a teenager,q
en659,Q741462,s
en660,who is the first president of new zealand,q
en661,Q6247949,s
en662,who was the first coach of the bucaneers,q
en663,Q259843,s
en664,what is named after of vladikavkaz that is start time is 1954-0-0,q
en665,when did the sports team playing out of ed smith stadium arena win the world series,q
en666,Q8007,s
en667,who was president of the us when douglas bravo was a teenager,q
en668,Q133614,s
en669,who invented the first steam engine used in railroads,q
en670,Q344750,s
en671,who won best supporting actor when alfred junge won best art direction,q
en672,Q698647,s
en673,which award was presented to umberto eco in 2001,q
en674,Q178473,s
en675,Q185493,s
en676,Q1948730,s
en677,Q2638119,s
en678,Q530008,s
en679,"what award did gherman titov receive on august 9, 1961",q
en680,Q1132659,s
en681,what year was lebron james rookie season,q
en682,Q699716,s
en683,what year did ted kennedy run for president,q
en684,Q219714,s
en685,Q221150,s
en686,what team did hank baskett play for in 2010 and has the mascot called viktor the viking,q
en687,what was friedrich wöhler nominated for at the time of 1872-1-1,q
en688,Q128902,s
en689,who was the british prime minister during french revolution,q
en690,who was the first coach for the dallas cowboys,q
en691,Q815612,s
en692,what happened to justin bieber 2012,q
en693,Q505780,s
en694,what are the tv directors who were born on 07/16/1902,q
en695,"for the 43rd academy awards, what is gene hackman's nomination area",q
en696,Q132232,s
en697,who is the spouse of robert schumann in the year 1840,q
en698,Q3586899,s
en699,what electoral district does member of the australian house of representatives john howard represent and when was he elected,q
en700,Q4671453,s
en701,what is educated at of marina abramović that is end time is 1970-0-0,q
en702,Q24906838,s
en703,when was the last world series held in the sloan park sports arena,q
en704,Q4639116,s
en705,when does the world cup occur,q
en706,what team did nani play for in 2007,q
en707,who was new zealand's first president,q
en708,Q134982,s
en709,Q166714,s
en710,who was the leader of britain during world war one,q
en711,Q105575,s
en712,Q111567,s
en713,Q151523,s
en714,Q151872,s
en715,Q155538,s
en716,Q160640,s
en717,Q179449,s
en718,Q25973,s
en719,Q37030,s
en720,Q380787,s
en721,Q43523,s
en722,Q561283,s
en723,Q57187,s
en724,Q57358,s
en725,Q60785,s
en726,Q61071,s
en727,Q64421,s
en728,Q64789,s
en729,Q64791,s
en730,Q65350,s
en731,Q67013,s
en732,Q67511,s
en733,Q7546,s
en734,Q76412,s
en735,Q76509,s
en736,Q76606,s
en737,Q76650,s
en738,Q76727,s
en739,Q76820,s
en740,Q77109,s
en741,Q77325,s
en742,Q77491,s
en743,Q78483,s
en744,Q78504,s
en745,Q9021,s
en746,Q9215,s
en747,Q94287,s
en748,in what don did agnes miegel get a 1st put medal,q
en749,Q171410,s
en750,Q204845,s
en751,Q377197,s
en752,Q468436,s
en753,Q525980,s
en754,Q862090,s
en755,Q925414,s
en756,Q977193,s
en757,which drivers had a start position after 35 in 2009 daytona 500,q
en758,when was the last time the basketball team whose head coach is derek fisher won the national championship,q
en759,which sports team for which cristiano ronaldo played in 2011 was founded last,q
en760,Q6952069,s
en761,what is nominated for of ncis that is point in time is 2013-0-0,q
en762,Q13426199,s
en763,is it true that inner mongolia was founded in 1947,q
en764,Q464955,s
en765,what is residence of michael caine that is end time is 1970-0-0,q
en766,"which country fought in the 1991 gulf war, and is the location of film, shine",q
en767,Q3873144,s
en768,Q572316,s
en769,Q833633,s
en770,in 1955 what award was william faulkner given,q
en771,what sports team owned by jerry buss did derek fisher play for in 2012,q
en772,Q20017756,s
en773,who became the head of the lisbon government in april 2015,q
en774,Q727282,s
en775,what is award received of jean marais that is point in time is 1993-1-1,q
en776,Q16476,s
en777,Q1827902,s
en778,who are the current us senators and representatives in hawaii,q
en779,Q36023,s
en780,who became president after harding died,q
en781,Q107964,s
en782,what is together with and point in time of christopher a. sims has award received as sveriges riksbank prize in economic sciences in memory of alfred nobel,q
en783,Q5454179,s
en784,Q7443705,s
en785,at what event that ended prior to 4 march 1865 was abraham lincoln inaugurated,q
en786,Q22686,s
en787,who was the us forty fifth president,q
en788,Q7156,s
en789,Q79800,s
en790,what team is sponsored by beko and had player messi on their roster in 2010,q
en791,Q1209,s
en792,Q131964,s
en793,Q14551680,s
en794,Q153015,s
en795,Q155570,s
en796,Q157013,s
en797,Q157710,s
en798,Q158151,s
en799,Q158445,s
en800,Q159631,s
en801,Q161215,s
en802,Q161947,s
en803,Q164079,s
en804,Q16550783,s
en805,Q165763,s
en806,Q1783098,s
en807,Q186320,s
en808,Q20135,s
en809,Q264970,s
en810,Q27306,s
en811,Q278874,s
en812,Q281005,s
en813,Q310650,s
en814,Q313175,s
en815,Q326029,s
en816,Q3462133,s
en817,Q347,s
en818,Q376009,s
en819,Q529605,s
en820,Q531783,s
en821,Q533534,s
en822,Q630163,s
en823,Q639100,s
en824,Q673865,s
en825,Q675085,s
en826,Q686965,s
en827,Q693669,s
en828,Q695316,s
en829,Q700663,s
en830,Q704288,s
en831,Q704300,s
en832,Q836680,s
en833,Q950240,s
en834,give me the name of territorial entity that separated from german confederation in 1866,q
en835,what 2011 governor of ohio previously held a position in the ohio senate,q
en836,Q179164,s
en837,Q188961,s
en838,Q49890,s
en839,what governmental system is currently used in the governmental jurisdiction that has an office holder named ariste jacques trouvã©-chauvel,q
en840,Q929902,s
en841,"in the administrative territorial entity of bristol, what significant event happened in 1996",q
en842,Q7558282,s
en843,which album did peter cetera release in 1986,q
en844,Q53662,s
en845,what was the first dog in space called,q
en846,Q1932603,s
en847,who is the current leader of the nation where you'd find santiago de cuba province,q
en848,Q617375,s
en849,"what city became guanajuato's sister city on november 6, 2014",q
en850,Q24826,s
en851,where did george harrison live before he died,q
en852,Q534295,s
en853,who was the new head of government of schwerin from 2008-5-1,q
en854,Q16,s
en855,Q23666,s
en856,Q38,s
en857,what countries was not an enemy of the us during world war 2,q
en858,Q170473,s
en859,who was king of troy during the trojan wars,q
en860,Q1780561,s
en861,what award did bjørn dæhlie recieve in 1992,q
en862,what rear window was nominated for at 27th academy awards,q
en863,the country that contains cao bang has what type of governent today,q
en864,Q314164,s
en865,Q51088,s
en866,Q693052,s
en867,who was the student of ludwig van beethoven in 1795,q
en868,Q208258,s
en869,who was claude francois's partner in 1964,q
en870,Q16275104,s
en871,Q4896642,s
en872,what is nominated for of serena williams that is point in time is 2009-0-0,q
en873,Q11613,s
en874,who held a position in the new york state senate and was president of the united states during wwii,q
en875,Q80811,s
en876,what was the first satellite launched into space by the soviet,q
en877,Q193487,s
en878,"what is themed after the an-225 mriya, that has been operated by the russian air force",q
en879,Q1191,s
en880,which is the second largest state of india by population according to 2001 census,q
en881,Q294339,s
en882,who took control of russia after the death of vi lenin,q
en883,Q855,s
en884,who was the leader of the country where the chuvash language was spoken during wwii,q
en885,what is muhammad's first wife name,q
en886,Q18125,s
en887,"where did the ""your arsenal"" award nominated artist live in 2010",q
en888,what team with mascot named ragnar did hank baskett play for in nov 2010,q
en889,Q772496,s
en890,which is the after death work that was the remarkable work of ludwig wittgenstein,q
en891,Q90,s
